ID,Pop,Country,Lat,Long,Elev,MajorComponent,K1,K2,K3,K4,K5,K6,K7,K8
HM203,SA27176,Greece,38.483,22.5,654.81,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM077,SA27062,Greece,38.083,22.567,24.515,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM078,SA27063,Greece,38.083,22.567,24.515,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM188,GRC040-1,Greece,37.596,23.011,297.835,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM036,GRC042-1,Greece,37.641,23.142,256.408,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM062,GRC063-D,Greece,40.159,23.732,40.073,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM314,PI660361SSD,Greece,38,23.73333333,88.949,K8.7,0.00001,0.00001,0.00001,0.033506,0.079094,0.00001,0.88735,0.00001
HM037,GRC064-B,Greece,39.987,23.932,198.526,K8.7,0.010462,0.00001,0.00001,0.00001,0.07519,0.00001,0.914299,0.00001
HM289,PI577617SSD,Greece,35.25,24.75,473.437,K8.7,0.00001,0.00001,0.00001,0.00001,0.034482,0.037071,0.928397,0.00001
HM134,SA02084,Greece,37.55,25.133,10.964,K8.7,0.147112,0.00001,0.00001,0.00001,0.00001,0.00001,0.852828,0.00001
HM259,PI577599SSD,Greece,35.33333333,25.13333333,5.87,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM160,CRE005-A,"Greece,Crete",35.115,24.688,99.174,K8.7,0.00001,0.00001,0.00001,0.00001,0.062318,0.13148,0.806151,0.00001
HM114,CRE009-A,"Greece,Crete",35.035,25.935,6.099,K8.7,0.045706,0.00001,0.00001,0.00001,0.00001,0.00001,0.954234,0.00001
HM039,SA03116,Israel,32,35,209.111,K8.7,0.00001,0.00001,0.00001,0.00001,0.441332,0.00001,0.558608,0.00001
HM109,SA11959,Israel,33,35,10.668,K8.7,0.00001,0.00001,0.00001,0.037395,0.314659,0.00001,0.647896,0.00001
HM066,SA01489,Israel,32.683,35.4,488.262,K8.7,0.00001,0.00001,0.00001,0.00001,0.456017,0.00001,0.543923,0.00001
HM135,SA02748,Israel,32.8,35.533,-161.737,K8.7,0.00001,0.00001,0.00001,0.00001,0.280736,0.00001,0.719204,0.00001
HM075,SA12451,Italy,39.117,8.933,475.011,K8.6,0.002572,0.242293,0.03527,0.309175,0.00001,0.407776,0.002894,0.00001
HM202,SA25941,Italy,39,9,8.846,K8.6,0.00001,0.185279,0.00001,0.179686,0.00001,0.625437,0.009558,0.00001
HM153,SA25898,Italy,39.133,9.533,14.281,K8.7,0.00001,0.00001,0.029236,0.289433,0.026048,0.323468,0.331784,0.00001
HM302,PI283662SSD,Italy,42.610054,12.554097,249.464,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
